,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.622,0.755,0.426,0.733,0.672,0.733,0.266,0.332,0.604,0.531,0.732,0.606,0.367,0.179,1
0,0.582,0.735,0.415,0.734,0.672,0.713,0.267,0.327,0.604,0.527,0.736,0.610,0.363,0.181,1
0,0.607,0.765,0.406,0.727,0.675,0.749,0.263,0.325,0.603,0.527,0.726,0.608,0.368,0.159,1
0,0.639,0.765,0.427,0.730,0.699,0.759,0.259,0.329,0.599,0.527,0.728,0.608,0.366,0.169,1
0,0.634,0.780,0.411,0.733,0.665,0.748,0.268,0.328,0.608,0.524,0.742,0.599,0.369,0.180,1
0,0.607,0.765,0.406,0.727,0.669,0.749,0.206,0.321,0.631,0.596,0.676,0.608,0.368,0.159,1
0,0.607,0.765,0.406,0.727,0.669,0.749,0.206,0.321,0.631,0.596,0.676,0.608,0.368,0.159,1
0,0.590,0.765,0.427,0.730,0.692,0.759,0.204,0.326,0.629,0.599,0.678,0.608,0.366,0.169,1
0,0.590,0.765,0.427,0.730,0.692,0.759,0.204,0.326,0.629,0.599,0.678,0.608,0.366,0.169,1
0,0.597,0.780,0.422,0.734,0.670,0.759,0.209,0.331,0.631,0.593,0.681,0.609,0.370,0.172,1
0,0.617,0.770,0.425,0.736,0.674,0.763,0.269,0.329,0.611,0.531,0.737,0.626,0.385,0.176,2
0,0.595,0.740,0.429,0.738,0.691,0.755,0.267,0.332,0.605,0.532,0.734,0.633,0.382,0.181,2
0,0.607,0.785,0.416,0.738,0.675,0.756,0.269,0.333,0.610,0.531,0.745,0.625,0.381,0.186,2
0,0.597,0.780,0.425,0.735,0.684,0.758,0.263,0.331,0.606,0.528,0.734,0.625,0.383,0.173,2
0,0.575,0.765,0.423,0.740,0.678,0.747,0.268,0.332,0.606,0.534,0.732,0.630,0.382,0.188,2
0,0.607,0.740,0.425,0.739,0.671,0.736,0.212,0.329,0.635,0.603,0.687,0.627,0.378,0.187,2
0,0.572,0.755,0.417,0.735,0.672,0.758,0.209,0.324,0.634,0.599,0.684,0.628,0.384,0.177,2
0,0.595,0.785,0.416,0.738,0.668,0.756,0.212,0.329,0.640,0.603,0.694,0.625,0.381,0.186,2
0,0.619,0.775,0.420,0.736,0.673,0.757,0.209,0.329,0.636,0.604,0.684,0.629,0.384,0.175,2
0,0.585,0.785,0.422,0.738,0.669,0.762,0.213,0.328,0.630,0.597,0.678,0.630,0.382,0.185,2
0,0.614,0.765,0.425,0.738,0.687,0.758,0.265,0.332,0.608,0.535,0.736,0.638,0.391,0.181,4
0,0.614,0.805,0.432,0.741,0.682,0.762,0.267,0.336,0.608,0.532,0.738,0.638,0.393,0.187,4
0,0.609,0.770,0.421,0.740,0.690,0.766,0.267,0.335,0.610,0.535,0.740,0.636,0.393,0.183,4
0,0.627,0.805,0.432,0.741,0.682,0.762,0.267,0.336,0.608,0.532,0.738,0.638,0.393,0.187,4
0,0.595,0.815,0.425,0.741,0.677,0.756,0.266,0.337,0.609,0.536,0.738,0.640,0.393,0.188,4
0,0.587,0.780,0.420,0.741,0.677,0.765,0.212,0.329,0.636,0.602,0.685,0.637,0.391,0.182,4
0,0.617,0.770,0.430,0.740,0.671,0.757,0.215,0.332,0.635,0.600,0.687,0.639,0.393,0.184,4
0,0.604,0.740,0.433,0.742,0.673,0.762,0.215,0.331,0.638,0.599,0.690,0.636,0.391,0.187,4
0,0.607,0.765,0.417,0.742,0.671,0.752,0.216,0.329,0.635,0.599,0.685,0.637,0.391,0.189,4
0,0.617,0.785,0.428,0.740,0.672,0.757,0.214,0.329,0.635,0.604,0.687,0.642,0.390,0.188,4
0,0.577,0.760,0.420,0.740,0.679,0.762,0.268,0.333,0.610,0.535,0.738,0.641,0.395,0.186,6
0,0.592,0.780,0.423,0.741,0.683,0.763,0.269,0.333,0.610,0.534,0.741,0.642,0.392,0.184,6
0,0.602,0.765,0.422,0.742,0.678,0.755,0.270,0.335,0.612,0.538,0.741,0.643,0.393,0.189,6
0,0.607,0.770,0.426,0.741,0.679,0.750,0.269,0.333,0.611,0.537,0.740,0.641,0.393,0.186,6
0,0.609,0.765,0.433,0.742,0.686,0.775,0.270,0.333,0.611,0.532,0.741,0.642,0.394,0.185,6
0,0.590,0.810,0.427,0.743,0.673,0.753,0.215,0.331,0.637,0.600,0.689,0.642,0.395,0.189,6
0,0.587,0.770,0.436,0.740,0.676,0.754,0.214,0.329,0.638,0.604,0.688,0.641,0.395,0.185,6
0,0.619,0.785,0.421,0.741,0.672,0.748,0.214,0.330,0.636,0.604,0.687,0.642,0.394,0.186,6
0,0.600,0.845,0.417,0.742,0.675,0.759,0.214,0.330,0.636,0.600,0.689,0.642,0.391,0.188,6
0,0.629,0.825,0.431,0.742,0.676,0.765,0.213,0.330,0.638,0.603,0.689,0.643,0.393,0.187,6
0,0.580,0.755,0.429,0.741,0.684,0.770,0.269,0.334,0.610,0.535,0.740,0.644,0.395,0.184,8
0,0.619,0.765,0.435,0.741,0.680,0.766,0.269,0.334,0.612,0.536,0.741,0.644,0.398,0.186,8
0,0.590,0.780,0.423,0.742,0.686,0.763,0.267,0.334,0.609,0.534,0.739,0.643,0.395,0.186,8
0,0.590,0.765,0.418,0.742,0.683,0.765,0.269,0.334,0.611,0.539,0.740,0.646,0.395,0.188,8
0,0.607,0.780,0.425,0.741,0.684,0.769,0.268,0.334,0.611,0.536,0.741,0.645,0.396,0.184,8
0,0.592,0.790,0.434,0.742,0.678,0.768,0.213,0.331,0.637,0.603,0.690,0.645,0.394,0.188,8
0,0.595,0.775,0.425,0.742,0.678,0.767,0.213,0.330,0.638,0.603,0.687,0.643,0.394,0.186,8
0,0.590,0.770,0.427,0.742,0.675,0.759,0.214,0.330,0.638,0.604,0.689,0.644,0.395,0.187,8
0,0.607,0.765,0.422,0.741,0.676,0.760,0.214,0.330,0.637,0.605,0.688,0.644,0.395,0.185,8
0,0.619,0.780,0.431,0.741,0.677,0.767,0.214,0.331,0.636,0.603,0.689,0.643,0.396,0.185,8
0,0.607,0.780,0.429,0.742,0.682,0.765,0.268,0.334,0.638,0.604,0.740,0.645,0.397,0.187,10
base_line,0.595,0.820,0.434,0.736,0.694,0.757,0.299,0.341,0.611,0.514,0.754,0.661,0.440,0.181,0
