approach,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2
base_i,0.612068965517,0.782828282828,0.528532608696,0.736689537339,0.697925039861,0.769401613682,0.522273091873,0.340139016161,0.695962454851,0.629907402965,0.775956953873,,,0.171186635051
par_10%_p_i,0.609195402299,0.80303030303,0.535597826087,0.713887889888,0.62574592397,0.678481074224,0.442857515338,0.324842554875,0.650645883039,0.566744326496,0.733346619916,,,0.163696633075
par_1%_p_i,0.566091954023,0.575757575758,0.473097826087,0.550850121814,0.509924767026,0.731874853629,0.324508938792,0.203061332917,0.447261918712,0.338491920666,0.574556168474,,,0.11593440522
s_10%_p_i_5,0.617816091954,0.762626262626,0.558967391304,0.691671022725,0.639258453403,0.741376748334,0.499004732997,0.322760206042,0.660650802467,0.546197955839,0.758019999468,,,0.16935889722
s_10%_p_i,0.632183908046,0.777777777778,0.527445652174,0.741919173038,0.685372320983,0.767089104368,0.498892816424,0.332014328267,0.680902103518,0.623092735783,0.758653619547,,,0.179456213221
s_1%_p_i_5,0.557471264368,0.676767676768,0.490217391304,0.630211673518,0.592277246101,0.75314536009,0.404111232867,0.252898791492,0.577135106395,0.483015295714,0.68248936314,,,0.125432361158
s_1%_p_i,0.574712643678,0.621212121212,0.470923913043,0.64727388514,0.61260170612,0.743345815671,0.394743677386,0.250979550938,0.569178715831,0.508902218361,0.668066493636,,,0.127063243551
base_j,0.59,0.795,0.552343939762,0.735815854427,0.699277845045,0.762290875822,0.442612187489,0.336979811032,0.692024306957,0.629907402965,0.770065873398,,,0.182875511962
par_10_p_j,0.6025,0.82,0.49939276172,0.713986380466,0.628330513584,0.674039189806,0.241726652221,0.325447427837,0.646349145655,0.566744326496,0.726191823884,,,0.161186559137
par_1%_p_j,0.5,0.61,0.415350983726,0.546524008446,0.512395377815,0.73809706294,0.198010151444,0.204202197732,0.444419919555,0.338491920666,0.568869228574,,,0.122579054995
s_10%_p_j_5,0.6075,0.765,0.514695166383,0.691481699207,0.641661635027,0.748587605111,0.379647586342,0.325580551374,0.659138088676,0.546197955839,0.756484880722,,,0.180422893173
s_10%_p_j,0.6025,0.75,0.522467816371,0.740477221513,0.687644802088,0.756980038848,0.329330271211,0.330989921913,0.676287740156,0.623092735783,0.75139977837,,,0.187085999371
s_1%_p_j_5,0.5125,0.605,0.450570803983,0.629339015914,0.594103772988,0.758291356619,0.327608778697,0.252079819881,0.572643708523,0.483015295714,0.674380520113,,,0.135438606482
s_1%_p_j,0.52,0.65,0.460043721156,0.643433436567,0.612736497133,0.743014504582,0.295143200249,0.247998515673,0.562567939157,0.508902218361,0.655547073338,,,0.136806881263
