,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2
vector_addition,0.600,0.800,0.429,0.659,0.750,0.556,0.722,0.674,0.761,0.282,0.322,0.598,0.513,0.731,0.700,0.439,0.183
vector_addition-normed,0.600,0.800,0.429,0.727,0.750,0.556,0.722,0.674,0.761,0.282,0.322,0.598,0.513,0.731,0.700,0.439,0.183
vector_addition-lra,0.575,0.710,0.345,0.818,0.650,0.578,0.700,0.545,0.748,0.279,0.389,0.603,0.506,0.723,0.679,0.430,0.163
vector_addition-lra-normed,0.575,0.710,0.345,0.818,0.625,0.622,0.700,0.545,0.748,0.279,0.389,0.603,0.506,0.723,0.679,0.430,0.163
,,,,,,,,,,,,,,,,,
linear_transform,0.537,0.755,0.413,0.705,0.650,0.578,0.692,0.669,0.746,0.236,0.324,0.522,0.415,0.664,0.682,0.422,0.160
linear_transform-normed,0.532,0.755,0.413,0.705,0.650,0.578,0.692,0.669,0.746,0.236,0.324,0.522,0.415,0.664,0.682,0.422,0.160
linear_transform-lra,0.500,0.670,0.319,0.614,0.550,0.600,0.670,0.507,0.681,0.277,0.358,0.577,0.468,0.712,0.654,0.400,0.151
linear_transform-lra-normed,0.500,0.670,0.319,0.614,0.550,0.600,0.670,0.507,0.681,0.277,0.358,0.577,0.468,0.712,0.654,0.400,0.151
,,,,,,,,,,,,,,,,,
pca_transbase,0.612,0.785,0.437,0.795,0.750,0.578,0.737,0.686,0.777,0.294,0.339,0.605,0.513,0.740,0.715,0.462,0.183
pca_transbase-lra-normed,0.522,0.735,0.374,0.750,0.650,0.578,0.706,0.557,0.735,0.272,0.371,0.584,0.493,0.687,0.671,0.420,0.163
pca_transbase-lra,0.535,0.735,0.374,0.750,0.650,0.556,0.706,0.557,0.735,0.272,0.371,0.584,0.493,0.687,0.671,0.420,0.163
pca_transbase-normed,0.612,0.785,0.437,0.795,0.725,0.600,0.737,0.686,0.777,0.294,0.339,0.605,0.513,0.740,0.715,0.462,0.183
0,0.450248756219,0.63,0.28828139935,0.681818181818,0.7,0.555555555556,0.553889594466,0.580511001874,0.180087640608,0.0474660947462,0.165977336877,0.440007592502,0.490250089238,0.440552624088,0.432715923045,0.31475,0.136447847827
0,0.432835820896,0.62,0.290957751864,0.704545454545,0.725,0.511111111111,0.537945209912,0.626814702795,0.566926383177,0.0487599572594,0.203370705028,0.48663340323,0.47584878442,0.542166583625,0.409588620549,0.311125,0.153597494059

