name,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,time(s)
documentwise_10_pca_cosin,0.582,0.775,0.42,0.75,0.725,0.533,0.719,0.683,0.725,0.232,0.342,0.596,0.512,0.743,0.615,0.385,0.162,13057.1622(average)
sampling_10_concate_cosin,0.639,0.78,0.425,0.795,0.775,0.578,0.742,0.682,0.769,0.267,0.334,0.611,0.536,0.74,0.646,0.398,0.187,
sampling_10_pca_cosin,0.582,0.79,0.422,0.682,0.8,0.578,0.717,0.639,0.723,0.255,0.315,0.55,0.47,0.672,0.601,0.352,0.165,
documentwise_100_pca_cosin,0.505,0.6,0.366,0.773,0.8,0.578,0.616,0.586,0.683,0.085,0.229,0.461,0.375,0.598,0.467,0.221,0.129,
documentwise_100_pca_dist,0.505,0.6,0.358,0.659,0.8,0.578,0.622,0.592,0.723,0.203,0.24,0.516,0.464,0.596,0.467,0.221,0.129,
sampling_100_avg_cosin,0.476,0.564,0.344,0.663,0.729,0.568,0.571,0.569,0.475,0.01,0.229,0.459,0.439,0.542,0.037,0.006,0.117,
sampling_100_concate_cosin,0.535,0.58,0.379,0.614,0.725,0.622,0.644,0.608,0.746,0.153,0.246,0.495,0.412,0.642,0.487,0.236,0.138,
sampling_100_pca_cosin,0.53,0.635,0.374,0.659,0.75,0.556,0.642,0.612,0.695,0.165,0.245,0.479,0.401,0.619,0.462,0.222,0.135,
sampling_100_pca_dist,0.517,0.635,0.374,0.659,0.7,0.556,0.642,0.613,0.695,0.265,0.246,0.527,0.492,0.603,0.462,0.222,0.135,
sampling_100_pca_mean_corr_dist,0.517,0.58,0.381,0.705,0.725,0.556,0.644,0.607,0.746,0.257,0.247,0.542,0.5,0.627,0.487,0.236,0.138,13066.616(training on average)+916.245(combination)=13982.861
base_line_consin,0.595,0.82,0.434,0.795,0.7,0.578,0.736,0.694,0.757,0.299,0.341,0.611,0.514,0.754,0.661,0.44,0.181,129014.955
