,AP,Battig,MEN,RG65,RW,WS353,Google,SemEval2012_2,nsubs
0,0.572,0.427,0.723,0.752,0.203,0.618,0.621,0.177,1
0,0.592,0.414,0.733,0.726,0.207,0.619,0.622,0.175,1
0,0.580,0.411,0.724,0.751,0.208,0.616,0.617,0.175,1
0,0.619,0.415,0.723,0.695,0.204,0.620,0.613,0.164,1
0,0.619,0.415,0.723,0.695,0.204,0.620,0.613,0.164,1
0,0.585,0.412,0.730,0.760,0.213,0.623,0.613,0.174,1
0,0.580,0.411,0.724,0.751,0.208,0.616,0.617,0.175,1
0,0.587,0.404,0.725,0.730,0.204,0.625,0.615,0.152,1
0,0.587,0.404,0.725,0.730,0.204,0.625,0.615,0.152,1
0,0.585,0.412,0.730,0.760,0.213,0.623,0.613,0.174,1
0,0.614,0.426,0.724,0.762,0.211,0.641,0.636,0.170,2
0,0.604,0.411,0.731,0.749,0.213,0.631,0.637,0.175,2
0,0.607,0.413,0.727,0.753,0.205,0.618,0.635,0.179,2
0,0.597,0.422,0.735,0.773,0.212,0.634,0.632,0.177,2
0,0.607,0.431,0.726,0.750,0.209,0.634,0.634,0.186,2
0,0.627,0.422,0.737,0.741,0.217,0.632,0.629,0.178,2
0,0.587,0.427,0.735,0.724,0.204,0.630,0.637,0.186,2
0,0.617,0.421,0.730,0.738,0.199,0.630,0.632,0.170,2
0,0.602,0.426,0.727,0.733,0.214,0.630,0.634,0.189,2
0,0.604,0.418,0.728,0.755,0.206,0.639,0.639,0.176,2
0,0.632,0.420,0.734,0.732,0.216,0.628,0.647,0.182,4
0,0.595,0.424,0.738,0.747,0.212,0.626,0.652,0.181,4
0,0.637,0.421,0.734,0.758,0.214,0.639,0.641,0.185,4
0,0.602,0.434,0.736,0.753,0.210,0.623,0.650,0.188,4
0,0.637,0.422,0.733,0.745,0.209,0.639,0.647,0.187,4
0,0.595,0.419,0.733,0.752,0.209,0.621,0.645,0.178,4
0,0.612,0.431,0.734,0.746,0.209,0.633,0.645,0.199,4
0,0.592,0.416,0.735,0.768,0.211,0.629,0.645,0.180,4
0,0.647,0.419,0.730,0.738,0.208,0.636,0.645,0.184,4
0,0.580,0.421,0.738,0.749,0.212,0.630,0.649,0.182,4
0,0.587,0.424,0.741,0.726,0.216,0.643,0.654,0.179,6
0,0.632,0.427,0.736,0.747,0.207,0.641,0.655,0.186,6
0,0.627,0.425,0.739,0.757,0.207,0.628,0.650,0.191,6
0,0.609,0.417,0.735,0.751,0.211,0.634,0.653,0.187,6
0,0.592,0.425,0.739,0.750,0.213,0.637,0.656,0.182,6
0,0.600,0.425,0.739,0.739,0.213,0.642,0.653,0.184,6
0,0.600,0.420,0.739,0.731,0.219,0.627,0.649,0.179,6
0,0.582,0.432,0.734,0.745,0.215,0.626,0.651,0.189,6
0,0.595,0.431,0.737,0.746,0.209,0.630,0.651,0.180,6
0,0.600,0.429,0.736,0.759,0.220,0.632,0.655,0.179,6
0,0.587,0.420,0.733,0.771,0.213,0.639,0.654,0.188,8
0,0.614,0.424,0.738,0.776,0.207,0.636,0.655,0.179,8
0,0.639,0.427,0.739,0.752,0.213,0.639,0.655,0.178,8
0,0.595,0.426,0.739,0.758,0.210,0.630,0.654,0.181,8
0,0.597,0.433,0.738,0.772,0.214,0.635,0.653,0.180,8
0,0.632,0.436,0.740,0.770,0.209,0.639,0.655,0.184,8
0,0.585,0.430,0.738,0.779,0.212,0.629,0.651,0.182,8
0,0.604,0.427,0.736,0.773,0.211,0.634,0.657,0.187,8
0,0.617,0.418,0.737,0.763,0.212,0.631,0.656,0.182,8
0,0.614,0.431,0.739,0.744,0.216,0.637,0.657,0.189,8
0,0.604,0.435,0.740,0.757,0.209,0.637,0.654,0.188,10
base_line,0.595,0.434,0.736,0.757,0.299,0.611,0.661,0.181,0
