configurations,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2
dichoto-linear_transform,.550,.660,.362,.705,.625,.578,.650,.583,.656,.258,.284,.557,.480,.697,.610,.331,.133
dichoto-linear_transform-lra,.388,.505,.208,.659,.625,.511,.556,.478,.601,.197,.318,.545,.485,.602,.544,.291,.120
dichoto-linear_transform-lra-normed,.388,.505,.208,.659,.625,.489,.556,.478,.601,.197,.318,.545,.485,.602,.544,.291,.120
dichoto-linear_transform-normed,.550,.660,.362,.705,.625,.578,.650,.583,.656,.258,.284,.557,.480,.697,.610,.331,.133
dichoto-pca_transbase,.622,.785,.436,.818,.750,.600,.741,.680,.787,.291,.344,.612,.525,.756,.712,.440,.185
dichoto-pca_transbase-lra,.172,.230,.094,.432,.550,.356,.020,.013,-.172,-.013,-.060,-.047,-.084,.028,.000,.000,.000
dichoto-pca_transbase-lra-normed,.172,.230,.094,.386,.550,.356,.020,.013,-.172,-.013,-.060,-.047,-.084,.028,.000,.000,.000
dichoto-pca_transbase-normed,.622,.785,.424,.795,.750,.533,.741,.680,.787,.291,.344,.612,.525,.756,.712,.440,.185
dichoto-vector_addition,.532,.780,.412,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162
dichoto-vector_addition-lra,.535,.700,.319,.659,.625,.556,.702,.506,.779,.268,.391,.619,.535,.740,.680,.425,.166
dichoto-vector_addition-lra-normed,.535,.700,.319,.705,.625,.600,.702,.506,.779,.268,.391,.619,.535,.740,.680,.425,.166
dichoto-vector_addition-normed,.562,.780,.410,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162
,,,,,,,,,,,,,,,,,
min_procrustes_err-linear_transform,.560,.800,.399,.750,.800,.556,.657,.630,.676,.238,.266,.483,.384,.621,.610,.304,.142
min_procrustes_err-linear_transform-lra,.562,.735,.381,.682,.675,.556,.636,.563,.621,.223,.263,.427,.313,.569,.618,.328,.156
min_procrustes_err-linear_transform-lra-normed,.562,.735,.381,.682,.725,.533,.636,.563,.621,.223,.263,.427,.313,.569,.618,.328,.156
min_procrustes_err-linear_transform-normed,.542,.800,.399,.750,.800,.600,.657,.630,.676,.238,.266,.483,.384,.621,.610,.304,.142
min_procrustes_err-pca_transbase,.619,.770,.426,.795,.750,.556,.741,.679,.792,.291,.344,.613,.525,.755,.713,.441,.184
min_procrustes_err-pca_transbase-lra,.619,.770,.426,.795,.750,.556,.741,.679,.792,.291,.344,.613,.525,.755,.713,.441,.184
min_procrustes_err-pca_transbase-lra-normed,.619,.805,.426,.795,.750,.556,.741,.679,.792,.291,.344,.613,.525,.755,.713,.441,.184
min_procrustes_err-pca_transbase-normed,.619,.770,.426,.795,.750,.556,.741,.679,.792,.291,.344,.613,.525,.755,.713,.441,.184
min_procrustes_err-vector_addition,.562,.745,.416,.750,.725,.556,.715,.660,.728,.253,.309,.587,.493,.723,.651,.385,.161
min_procrustes_err-vector_addition-lra,.575,.745,.412,.750,.725,.556,.715,.660,.728,.253,.309,.587,.493,.723,.651,.385,.161
min_procrustes_err-vector_addition-lra-normed,.587,.745,.412,.750,.725,.556,.715,.660,.728,.253,.309,.587,.493,.723,.651,.385,.161
min_procrustes_err-vector_addition-normed,.595,.745,.412,.750,.725,.556,.715,.660,.728,.253,.309,.587,.493,.723,.651,.385,.161
,,,,,,,,,,,,,,,,,
sequential-linear_transform,.483,.655,.395,.705,.650,.578,.672,.615,.566,.216,.299,.542,.457,.669,.623,.326,.131
sequential-linear_transform-lra,.398,.570,.223,.523,.675,.622,.584,.454,.746,.202,.328,.537,.438,.647,.594,.340,.151
sequential-linear_transform-lra-normed,.398,.570,.223,.523,.675,.556,.584,.454,.746,.202,.328,.537,.438,.647,.594,.340,.151
sequential-linear_transform-normed,.475,.650,.395,.705,.650,.489,.672,.615,.566,.216,.299,.542,.457,.669,.623,.326,.131
sequential-pca_transbase,.642,.835,.431,.795,.750,.556,.741,.680,.790,.291,.345,.614,.527,.755,.713,.441,.186
sequential-pca_transbase-lra,.453,.625,.282,.659,.500,.600,.051,-.036,-.024,.018,.036,-.052,-.005,-.120,.000,.000,-.011
sequential-pca_transbase-lra-normed,.480,.620,.287,.636,.600,.622,.038,-.058,.222,-.042,-.038,.012,-.055,.037,.001,.001,-.002
sequential-pca_transbase-normed,.612,.800,.431,.795,.750,.556,.741,.680,.790,.291,.345,.614,.527,.755,.713,.441,.186
sequential-vector_addition,.562,.780,.426,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162
sequential-vector_addition-lra,.560,.745,.327,.750,.625,.600,.685,.512,.785,.264,.362,.606,.516,.723,.661,.400,.158
sequential-vector_addition-lra-normed,.560,.745,.327,.750,.625,.689,.685,.512,.785,.264,.362,.606,.516,.723,.661,.400,.158
sequential-vector_addition-normed,.567,.780,.417,.795,.750,.622,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162
,,,,,,,,,,,,,,,,,
base_line,.595,.820,.434,.795,.700,.578,.736,.694,.757,.299,.341,.611,.514,.754,.661,.440,.181
