,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2
./eval_frag_0.csv,0.368159204,0.455,0.2280634678,0.6136363636,0.65,0.5333333333,0.3874659771,0.4553734105,0.2782179205,0.0225001011,0.1359819836,0.3889539857,0.4856382522,0.3815962284,0.3046970937,0.228375,0.0834938272
./eval_frag_1.csv,0.3532338308,0.455,0.223857771,0.6136363636,0.7,0.5111111111,0.3833940536,0.4580365821,0.2338516692,0.0479559999,0.1871704797,0.3106986247,0.3766485444,0.2746958899,0.2881702824,0.2395,0.1208879887
./eval_frag_2.csv,0.3457711443,0.475,0.2248136112,0.7045454545,0.65,0.5111111111,0.4072183448,0.5504508203,0.2466370175,0.0610001727,0.1255679575,0.3947170774,0.3812191374,0.4450650543,0.2760437986,0.251375,0.1127800011
./eval_frag_3.csv,0.3507462687,0.41,0.2192697381,0.6363636364,0.675,0.5777777778,0.3967767292,0.4547451843,0.2907410052,0.0321273792,0.1150265574,0.3511270214,0.3278699313,0.4356349288,0.2755321326,0.23,0.1144855662
./eval_frag_4.csv,0.3631840796,0.455,0.2154463774,0.6590909091,0.625,0.5333333333,0.4199675516,0.4467333325,0.0751603636,0.0264091562,0.1433886465,0.3579650063,0.3717198779,0.4068768835,0.2732296357,0.239125,0.1251748575
./eval_frag_5.csv,0.3706467662,0.495,0.2204167463,0.6136363636,0.725,0.5333333333,0.3725385921,0.5467961934,0.292860969,0.0462341966,0.1100594036,0.3476265254,0.4335537393,0.3366110798,0.2661686451,0.251125,0.0970280179
./eval_frag_6.csv,0.3905472637,0.49,0.2232842669,0.6590909091,0.7,0.5555555556,0.3611478831,0.5210747072,0.2116466883,0.0327669418,0.1642335133,0.4156804954,0.4077574475,0.4655262819,0.2829001228,0.237,0.0923717394
./eval_frag_7.csv,0.3532338308,0.425,0.2230930988,0.6818181818,0.625,0.5333333333,0.3690856012,0.5078657111,0.2703281586,0.0242546952,0.1003848089,0.3610325441,0.3649764723,0.4002312524,0.3036737618,0.24475,0.0844062122
./eval_frag_8.csv,0.3781094527,0.43,0.2211814185,0.5681818182,0.675,0.4888888889,0.3516893296,0.4249230941,0.3002917697,0.0345432325,0.111587125,0.37645617,0.4552544948,0.3620495372,0.257777323,0.227875,0.0977892311
./eval_frag_9.csv,0.3731343284,0.48,0.2230930988,0.6136363636,0.7,0.6,0.3982837947,0.462687487,0.1440045466,-0.0204326622,0.0777113229,0.4227348229,0.4303153298,0.4645514937,0.2563446582,0.255,0.1142024195
avg,0.3646766169,0.457,0.2222519595,0.6363636364,0.6725,0.5377777778,0.3847567857,0.4828686522,0.2343740108,0.0307359213,0.1271111798,0.3726992273,0.4034953227,0.397283863,0.2784537454,0.2404125,0.1042619861
