,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,time(sec)
skip-bin-lint,.465,.670,.367,.659,.575,.489,.614,.509,.631,.222,.249,.501,.443,.613,.596,.307,.109,17.6301
skip-bin-lint-lra,.393,.540,.236,.523,.525,.578,.581,.456,.664,.198,.295,.503,.406,.609,.560,.297,.104,10966.9275
skip-bin-lint-lra-normed,.393,.540,.236,.523,.525,.578,.581,.456,.664,.198,.295,.503,.406,.609,.560,.297,.104,11975.8912
skip-bin-lint-normed,.465,.670,.367,.659,.575,.467,.614,.509,.631,.222,.249,.501,.443,.613,.596,.307,.109,12.8062
skip-bin-PCA,.614,.800,.426,.795,.750,.533,.741,.680,.790,.291,.344,.613,.527,.757,.713,.441,.185,13.2412
skip-bin-PCA-lra,.167,.220,.091,.432,.525,.400,-.030,.078,-.127,.032,.007,.074,.015,.049,.000,.000,-.006,11273.8203
skip-bin-PCA-lra-normed,.167,.220,.091,.432,.550,.400,-.030,.078,-.127,.032,.007,.074,.015,.049,.000,.000,-.006,10860.1768
skip-bin-PCA-normed,.604,.800,.428,.795,.750,.533,.741,.680,.790,.291,.344,.613,.527,.757,.713,.441,.185,11.5765
skip-bin-vadd,.595,.780,.417,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,2.3807
skip-bin-vadd-lra,.540,.700,.319,.659,.625,.644,.702,.506,.779,.268,.391,.619,.535,.740,.680,.425,.166,11064.4405
skip-bin-vadd-lra-normed,.535,.700,.319,.659,.625,.600,.702,.506,.779,.268,.391,.619,.535,.740,.680,.425,.166,11196.2422
skip-bin-vadd-normed,.580,.780,.407,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,2.3773
,,,,,,,,,,,,,,,,,,
skip-MPE-lint,.542,.800,.399,.750,.800,.600,.657,.630,.676,.238,.266,.483,.384,.621,.610,.304,.142,216.0270
skip-MPE-lint-lra,.542,.800,.399,.750,.800,.556,.657,.630,.676,.238,.266,.483,.384,.621,.610,.304,.142,245.0348
skip-MPE-lint-lra-normed,.542,.800,.399,.773,.800,.600,.657,.630,.676,.238,.266,.483,.384,.621,.610,.304,.142,265.2622
skip-MPE-lint-normed,.542,.800,.399,.750,.800,.622,.657,.630,.676,.238,.266,.483,.384,.621,.610,.304,.142,242.9878
skip-MPE-PCA,.602,.795,.437,.795,.750,.556,.741,.678,.791,.291,.346,.613,.525,.757,.714,.441,.184,95.7855
skip-MPE-PCA-lra,.515,.715,.313,.705,.550,.644,.684,.509,.742,.243,.371,.620,.539,.719,.637,.370,.143,11125.0377
skip-MPE-PCA-lra-normed,.515,.715,.313,.705,.575,.600,.684,.509,.742,.243,.371,.620,.539,.719,.637,.370,.143,11005.5933
skip-MPE-PCA-normed,.624,.795,.437,.795,.750,.556,.741,.678,.791,.291,.346,.613,.525,.757,.714,.441,.184,95.9605
skip-MPE-vadd,.577,.780,.407,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,218.7824
skip-MPE-vadd-lra,.582,.780,.418,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,220.8077
skip-MPE-vadd-lra-normed,.532,.780,.422,.795,.750,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,218.8266
skip-MPE-vadd-normed,.550,.780,.409,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,244.5777
,,,,,,,,,,,,,,,,,,
skip-seq-lint,.483,.650,.395,.705,.650,.489,.672,.615,.566,.216,.299,.542,.457,.669,.623,.326,.131,125.1235
skip-seq-lint-lra,.398,.570,.223,.523,.675,.556,.584,.454,.746,.202,.328,.537,.438,.647,.594,.340,.151,11917.6566
skip-seq-lint-lra-normed,.398,.570,.223,.523,.675,.556,.584,.454,.746,.202,.328,.537,.438,.647,.594,.340,.151,16736.0442
skip-seq-lint-normed,.475,.650,.395,.705,.650,.556,.672,.615,.566,.216,.299,.542,.457,.669,.623,.326,.131,172.9950
skip-seq-PCA,.607,.815,.432,.795,.750,.556,.741,.681,.792,.291,.345,.613,.526,.755,.714,.442,.186,12.0927
skip-seq-PCA-lra,.545,.700,.310,.682,.600,.556,.664,.514,.761,.236,.343,.598,.513,.708,.631,.373,.149,10273.7487
skip-seq-PCA-lra-normed,.545,.700,.310,.614,.575,.644,.664,.514,.761,.236,.343,.598,.513,.708,.631,.373,.149,10382.6276
skip-seq-PCA-normed,.627,.815,.432,.795,.750,.556,.741,.681,.792,.291,.345,.613,.526,.755,.714,.442,.186,12.0434
skip-seq-vadd,.572,.780,.411,.795,.750,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,127.6083
skip-seq-vadd-lra,.560,.745,.327,.750,.625,.644,.685,.512,.785,.264,.362,.606,.516,.723,.661,.400,.158,11248.8521
skip-seq-vadd-lra-normed,.560,.745,.327,.750,.625,.644,.685,.512,.785,.264,.362,.606,.516,.723,.661,.400,.158,11297.9965
skip-seq-vadd-normed,.582,.780,.407,.795,.725,.533,.713,.661,.734,.256,.302,.561,.475,.700,.654,.378,.162,138.6275
