embedding dimension, vocabulary threshold, data source, category, average ERR, occurence
300, 25, wordnet, present-participle, 0.471254775702, 1833
300, 25, wordnet, superlative, 0.395368096785, 56
300, 25, wordnet, MemberOf, 0.492906976579, 112
300, 25, wordnet, currency, 0.496607325259, 89
300, 25, wordnet, nationality-adjective, 0.610005387721, 126
300, 25, wordnet, comparative, 0.443890558932, 68
300, 25, wordnet, plural-verbs, 0.474628297198, 1731
300, 25, wordnet, Entails, 0.478621410654, 93
300, 25, wordnet, PartOf, 0.462233362135, 665
300, 25, wordnet, InstanceOf, 0.493234361186, 788
300, 25, wordnet, plural-nouns, 0.479761581645, 3344
300, 25, wordnet, HasContext, 0.491668613401, 702
300, 25, wordnet, SimilarTo, 0.486428023303, 1406
300, 25, wordnet, RelatedTo, 0.487493975323, 78
300, 25, wordnet, past-tense, 0.471953338954, 1730
300, 25, wordnet, man-woman, 0.524779174894, 60
300, 25, wordnet, Antonym, 0.479621554023, 399
300, 25, wordnet, all-capital-cities, 0.419303055611, 108
300, 25, wordnet, city-in-state, 0.492294381575, 2494
300, 25, wordnet, DerivedFrom, 0.47526678547, 2862
300, 25, wordnet, Attribute, 0.451681192225, 119
300, 25, wordnet, adjective-to-adverb, 0.451261680222, 372
300, 25, wordnet, MadeOf, 0.432003474467, 26
300, 25, wordnet, IsA, 0.484881540903, 7051
300, 25, wordnet, Causes, 0.5, 24
250, 15, wordnet, present-participle, 0.470182999554, 2191
250, 15, wordnet, superlative, 0.416976556762, 69
250, 15, wordnet, MemberOf, 0.502062970273, 126
250, 15, wordnet, currency, 0.495221748737, 96
250, 15, wordnet, nationality-adjective, 0.602202927876, 132
250, 15, wordnet, comparative, 0.41917054031, 74
250, 15, wordnet, plural-verbs, 0.474425061936, 1995
250, 15, wordnet, Entails, 0.486946648938, 97
250, 15, wordnet, PartOf, 0.464340371358, 745
250, 15, wordnet, InstanceOf, 0.497655890907, 906
250, 15, wordnet, plural-nouns, 0.47345405599, 3926
250, 15, wordnet, HasContext, 0.492921242627, 813
250, 15, wordnet, SimilarTo, 0.489090397632, 1635
250, 15, wordnet, RelatedTo, 0.490454931973, 84
250, 15, wordnet, past-tense, 0.475074644351, 2103
250, 15, wordnet, man-woman, 0.529847990174, 69
250, 15, wordnet, Antonym, 0.477448443514, 452
250, 15, wordnet, all-capital-cities, 0.391701112237, 113
250, 15, wordnet, city-in-state, 0.492931517146, 2789
250, 15, wordnet, DerivedFrom, 0.47881705103, 3359
250, 15, wordnet, Attribute, 0.466349127432, 129
250, 15, wordnet, adjective-to-adverb, 0.454297662611, 463
250, 15, wordnet, MadeOf, 0.453493923611, 32
250, 15, wordnet, IsA, 0.487842063242, 7888
250, 15, wordnet, Causes, 0.5, 24
200, 50, wordnet, present-participle, 0.480968136069, 1349
200, 50, wordnet, superlative, 0.387159224607, 42
200, 50, wordnet, MemberOf, 0.526285858442, 88
200, 50, wordnet, currency, 0.47919585465, 55
200, 50, wordnet, nationality-adjective, 0.623111028567, 118
200, 50, wordnet, comparative, 0.410241323395, 55
200, 50, wordnet, plural-verbs, 0.496448113718, 1362
200, 50, wordnet, Entails, 0.465017136859, 75
200, 50, wordnet, PartOf, 0.461935747888, 555
200, 50, wordnet, InstanceOf, 0.494599580977, 624
200, 50, wordnet, plural-nouns, 0.509402319435, 2544
200, 50, wordnet, HasContext, 0.488955646066, 593
200, 50, wordnet, SimilarTo, 0.483851726046, 1141
200, 50, wordnet, RelatedTo, 0.487576995973, 67
200, 50, wordnet, past-tense, 0.494642816713, 1270
200, 50, wordnet, man-woman, 0.532083631325, 47
200, 50, wordnet, Antonym, 0.483619248543, 324
200, 50, wordnet, all-capital-cities, 0.427431580765, 90
200, 50, wordnet, city-in-state, 0.493501777115, 1992
200, 50, wordnet, DerivedFrom, 0.46993846092, 2232
200, 50, wordnet, Attribute, 0.447194991439, 105
200, 50, wordnet, adjective-to-adverb, 0.435343613926, 260
200, 50, wordnet, MadeOf, 0.448903508772, 19
200, 50, wordnet, IsA, 0.482713000534, 5925
200, 50, wordnet, Causes, 0.5, 21
100, 35, wordnet, present-participle, 0.492344008426, 1599
100, 35, wordnet, superlative, 0.441086555684, 48
100, 35, wordnet, MemberOf, 0.500663463385, 103
100, 35, wordnet, currency, 0.486437444041, 82
100, 35, wordnet, nationality-adjective, 0.559948439718, 122
100, 35, wordnet, comparative, 0.409802827032, 60
100, 35, wordnet, plural-verbs, 0.486720643587, 1555
100, 35, wordnet, Entails, 0.47525746941, 81
100, 35, wordnet, PartOf, 0.4646052252, 607
100, 35, wordnet, InstanceOf, 0.49539927023, 692
100, 35, wordnet, plural-nouns, 0.493939722788, 2938
100, 35, wordnet, HasContext, 0.491919524008, 648
100, 35, wordnet, SimilarTo, 0.486680759531, 1274
100, 35, wordnet, RelatedTo, 0.494005847953, 76
100, 35, wordnet, past-tense, 0.502427863183, 1510
100, 35, wordnet, man-woman, 0.506904380342, 52
100, 35, wordnet, Antonym, 0.474076275716, 366
100, 35, wordnet, all-capital-cities, 0.408368519552, 100
100, 35, wordnet, city-in-state, 0.492116736013, 2279
100, 35, wordnet, DerivedFrom, 0.476784590942, 2549
100, 35, wordnet, Attribute, 0.45897544328, 110
100, 35, wordnet, adjective-to-adverb, 0.445889924176, 316
100, 35, wordnet, MadeOf, 0.453616047695, 21
100, 35, wordnet, IsA, 0.486494572313, 6538
100, 35, wordnet, Causes, 0.5, 22
100, 50, wordnet, present-participle, 0.493189499281, 1349
100, 50, wordnet, superlative, 0.423084128501, 42
100, 50, wordnet, MemberOf, 0.508285842945, 88
100, 50, wordnet, currency, 0.478035714286, 55
100, 50, wordnet, nationality-adjective, 0.576328798874, 118
100, 50, wordnet, comparative, 0.421580253877, 55
100, 50, wordnet, plural-verbs, 0.492379726518, 1362
100, 50, wordnet, Entails, 0.478117317867, 75
100, 50, wordnet, PartOf, 0.459270325424, 555
100, 50, wordnet, InstanceOf, 0.495810640383, 624
100, 50, wordnet, plural-nouns, 0.50558058026, 2544
100, 50, wordnet, HasContext, 0.490273938818, 593
100, 50, wordnet, SimilarTo, 0.487168200683, 1141
100, 50, wordnet, RelatedTo, 0.493464495703, 67
100, 50, wordnet, past-tense, 0.509531052143, 1270
100, 50, wordnet, man-woman, 0.499908119276, 47
100, 50, wordnet, Antonym, 0.467906285891, 324
100, 50, wordnet, all-capital-cities, 0.440556274698, 90
100, 50, wordnet, city-in-state, 0.492432693648, 1992
100, 50, wordnet, DerivedFrom, 0.471263415304, 2232
100, 50, wordnet, Attribute, 0.456655654492, 105
100, 50, wordnet, adjective-to-adverb, 0.448365274225, 260
100, 50, wordnet, MadeOf, 0.427205882353, 19
100, 50, wordnet, IsA, 0.485334438904, 5925
100, 50, wordnet, Causes, 0.5, 21
200, 5, wordnet, present-participle, 0.479478725761, 2741
200, 5, wordnet, superlative, 0.458015462009, 82
200, 5, wordnet, MemberOf, 0.489465598094, 147
200, 5, wordnet, currency, 0.493258477633, 114
200, 5, wordnet, nationality-adjective, 0.56138414754, 136
200, 5, wordnet, comparative, 0.438132997341, 84
200, 5, wordnet, plural-verbs, 0.468428619541, 2482
200, 5, wordnet, Entails, 0.491896910279, 108
200, 5, wordnet, PartOf, 0.475710726122, 888
200, 5, wordnet, InstanceOf, 0.497237964919, 1084
200, 5, wordnet, plural-nouns, 0.465349789634, 5057
200, 5, wordnet, HasContext, 0.497593775419, 958
200, 5, wordnet, SimilarTo, 0.495346855181, 2045
200, 5, wordnet, RelatedTo, 0.497647849462, 93
200, 5, wordnet, past-tense, 0.475209095948, 2625
200, 5, wordnet, man-woman, 0.494809871199, 81
200, 5, wordnet, Antonym, 0.482033959374, 564
200, 5, wordnet, all-capital-cities, 0.396501154707, 121
200, 5, wordnet, city-in-state, 0.49510951505, 3118
200, 5, wordnet, DerivedFrom, 0.486002965776, 4190
200, 5, wordnet, Attribute, 0.483200526951, 148
200, 5, wordnet, adjective-to-adverb, 0.469841562742, 621
200, 5, wordnet, MadeOf, 0.471551827802, 42
200, 5, wordnet, IsA, 0.493746050225, 9259
200, 5, wordnet, Causes, 0.5, 26
150, 40, wordnet, present-participle, 0.480825190356, 1502
150, 40, wordnet, superlative, 0.443794662276, 44
150, 40, wordnet, MemberOf, 0.516893112556, 98
150, 40, wordnet, currency, 0.488766988277, 81
150, 40, wordnet, nationality-adjective, 0.586130373826, 120
150, 40, wordnet, comparative, 0.402723524318, 58
150, 40, wordnet, plural-verbs, 0.489787158113, 1479
150, 40, wordnet, Entails, 0.477342055412, 80
150, 40, wordnet, PartOf, 0.457159671947, 588
