embedding dimension, vocabulary threshold, average intersect rate
300, 25, 0.444792887847
250, 15, 0.409906213365
200, 50, 0.577002735444
100, 35, 0.675068386088
200, 5, 0.265367330989
150, 40, 0.618571707698
200, 15, 0.450586166471
150, 10, 0.441715513873
150, 25, 0.567291910903
50, 20, 0.453878468152
200, 40, 0.559359124658
100, 25, 0.632297772567
50, 5, 0.334964830012
250, 5, 0.231047284095
300, 30, 0.46390191481
100, 5, 0.378155529504
150, 5, 0.315699491989
150, 30, 0.589986322782
50, 30, 0.480304806565
150, 45, 0.631027745213
200, 35, 0.546287612349
50, 15, 0.434691285658
250, 20, 0.448143806174
250, 50, 0.540093786635
150, 20, 0.543806174287
100, 40, 0.690152403283
250, 25, 0.47458968347
50, 45, 0.510472840953
100, 45, 0.706223134037
200, 10, 0.387407190309
200, 20, 0.487153184838
300, 15, 0.380441578742
250, 10, 0.347391559203
300, 10, 0.31611957796
300, 45, 0.504005470887
300, 35, 0.481184056272
100, 20, 0.602198124267
50, 40, 0.502950371239
100, 30, 0.656565064478
300, 5, 0.204738178976
300, 50, 0.51225087925
50, 25, 0.469421649082
250, 30, 0.493434935522
250, 35, 0.508587338804
300, 20, 0.419343493552
100, 10, 0.503487690504
50, 10, 0.401387260649
250, 40, 0.520926143025
200, 25, 0.513266901133
150, 35, 0.607248925361
200, 45, 0.56858147714
300, 40, 0.493620554904
100, 15, 0.564673700664
50, 35, 0.492751074639
200, 30, 0.530734661977
150, 15, 0.506291520125
50, 50, 0.51874755764
250, 45, 0.531291520125
150, 50, 0.640826494725
