data source, category, average ERR, occurence
wikipedia-dict, superlative, 0.40880952381, 10
wikipedia-dict, present-participle, 0.468855675812, 281
wordnet, MemberOf, 0.577740777741, 33
wikipedia-dict, currency, 0.413038870851, 12
wikipedia-dict, nationality-adjective, 0.719232564821, 34
wikipedia-dict, comparative, 0.420272008325, 21
wikipedia-dict, plural-verbs, 0.473795468112, 348
wordnet, Entails, 0.467330586081, 26
wordnet, PartOf, 0.472334580276, 126
wordnet, InstanceOf, 0.497767857143, 80
wikipedia-dict, plural-nouns, 0.470953685275, 534
wordnet, HasContext, 0.495369637819, 149
wordnet, SimilarTo, 0.492933824841, 321
wordnet, RelatedTo, 0.484490740741, 27
wikipedia-dict, past-tense, 0.476245523723, 237
wikipedia-dict, man-woman, 0.47943038443, 15
wordnet, Antonym, 0.495586575644, 120
wikipedia-dict, all-capital-cities, 0.4836996337, 14
wikipedia-dict, city-in-state, 0.493567425058, 289
wordnet, DerivedFrom, 0.483910216592, 555
wordnet, Attribute, 0.479003546311, 39
wikipedia-dict, adjective-to-adverb, 0.495177117193, 51
wordnet, MadeOf, 0.5, 2
wordnet, IsA, 0.484460278234, 1915
wordnet, Causes, 0.5, 13

wikipedia-dict, superlative, 0.365113795518, 10
wikipedia-dict, present-participle, 0.457280010026, 281
wordnet, MemberOf, 0.567419323101, 33
wikipedia-dict, currency, 0.43731962482, 12
wikipedia-dict, nationality-adjective, 0.670706009677, 34
wikipedia-dict, comparative, 0.476236263736, 21
wikipedia-dict, plural-verbs, 0.471315629607, 348
wordnet, Entails, 0.47084478022, 26
wordnet, PartOf, 0.477613008101, 126
wordnet, InstanceOf, 0.492368395493, 80
wikipedia-dict, plural-nouns, 0.478242510625, 534
wordnet, HasContext, 0.483734190865, 149
wordnet, SimilarTo, 0.493796672119, 321
wordnet, RelatedTo, 0.484140550807, 27
wikipedia-dict, past-tense, 0.436787613331, 237
wikipedia-dict, man-woman, 0.432316260737, 15
wordnet, Antonym, 0.466595811596, 120
wikipedia-dict, all-capital-cities, 0.517842970522, 14
wikipedia-dict, city-in-state, 0.500882377172, 289
wordnet, DerivedFrom, 0.48710857683, 555
wordnet, Attribute, 0.477202889703, 39
wikipedia-dict, adjective-to-adverb, 0.484426030474, 51
wordnet, MadeOf, 0.458333333333, 2
wordnet, IsA, 0.488164253901, 1915
wordnet, Causes, 0.5, 13

