data source, category, average ERR, occurence
wikipedia-dict, superlative, 0.464536289994, 56
wikipedia-dict, present-participle, 0.483407592205, 1829
wordnet, MemberOf, 0.564896537517, 106
wikipedia-dict, currency, 0.494054307116, 89
wikipedia-dict, nationality-adjective, 0.661649830173, 114
wikipedia-dict, comparative, 0.466449288049, 68
wikipedia-dict, plural-verbs, 0.487092947102, 1730
wordnet, Entails, 0.488872997712, 92
wordnet, PartOf, 0.488464779974, 655
wordnet, InstanceOf, 0.494871201055, 777
wikipedia-dict, plural-nouns, 0.477234983313, 3327
wordnet, HasContext, 0.49613328288, 701
wordnet, SimilarTo, 0.49503069408, 1395
wordnet, RelatedTo, 0.494283250862, 78
wikipedia-dict, past-tense, 0.479625811008, 1726
wikipedia-dict, man-woman, 0.503827129255, 60
wordnet, Antonym, 0.488338856017, 398
wikipedia-dict, all-capital-cities, 0.516451083639, 100
wikipedia-dict, city-in-state, 0.497936999728, 2488
wordnet, DerivedFrom, 0.489765526259, 2858
wordnet, Attribute, 0.483072764006, 119
wikipedia-dict, adjective-to-adverb, 0.482341436778, 372
wordnet, MadeOf, 0.481272893773, 26
wordnet, IsA, 0.493906639047, 7032
wordnet, Causes, 0.5, 24

wikipedia-dict, superlative, 0.479746642247, 56
wikipedia-dict, present-participle, 0.479835753058, 1829
wordnet, MemberOf, 0.560070508839, 106
wikipedia-dict, currency, 0.5, 89
wikipedia-dict, nationality-adjective, 0.694822015217, 114
wikipedia-dict, comparative, 0.474540944086, 68
wikipedia-dict, plural-verbs, 0.485361529027, 1730
wordnet, Entails, 0.498020361991, 92
wordnet, PartOf, 0.48961750666, 655
wordnet, InstanceOf, 0.498565873566, 777
wikipedia-dict, plural-nouns, 0.479749920464, 3327
wordnet, HasContext, 0.496540895703, 701
wordnet, SimilarTo, 0.49588500235, 1395
wordnet, RelatedTo, 0.488975975005, 78
wikipedia-dict, past-tense, 0.478307595103, 1726
wikipedia-dict, man-woman, 0.481336714577, 60
wordnet, Antonym, 0.492250884804, 398
wikipedia-dict, all-capital-cities, 0.487301748905, 100
wikipedia-dict, city-in-state, 0.49818997389, 2488
wordnet, DerivedFrom, 0.488668606503, 2858
wordnet, Attribute, 0.478416943701, 119
wikipedia-dict, adjective-to-adverb, 0.480070647707, 372
wordnet, MadeOf, 0.483503016591, 26
wordnet, IsA, 0.493980872502, 7032
wordnet, Causes, 0.5, 24

