data source, category, average ERR, occurence
wikipedia-dict, present-participle, 0.485032260288, 1678
wikipedia-dict, superlative, 0.486804149798, 52
wordnet, MemberOf, 0.488429544312, 91
wikipedia-dict, currency, 0.49487276392, 63
wikipedia-dict, nationality-adjective, 0.536100400574, 114
wikipedia-dict, comparative, 0.473612365056, 66
wikipedia-dict, plural-verbs, 0.480454412269, 1613
wordnet, Entails, 0.494652406417, 85
wordnet, PartOf, 0.484393262405, 578
wordnet, InstanceOf, 0.496127541947, 649
wikipedia-dict, plural-nouns, 0.475319369761, 2953
wordnet, HasContext, 0.49831625235, 660
wordnet, SimilarTo, 0.494959914591, 1325
wordnet, RelatedTo, 0.5, 78
wikipedia-dict, past-tense, 0.482483887768, 1577
wikipedia-dict, man-woman, 0.499541244351, 51
wordnet, Antonym, 0.487258377351, 378
wikipedia-dict, all-capital-cities, 0.460514348289, 91
wikipedia-dict, city-in-state, 0.49676280878, 2072
wordnet, DerivedFrom, 0.491217004105, 2632
wordnet, Attribute, 0.485154090782, 113
wikipedia-dict, adjective-to-adverb, 0.482854802059, 344
wordnet, MadeOf, 0.470967414079, 22
wordnet, IsA, 0.494867728628, 6589
wordnet, Causes, 0.5, 23

wikipedia-dict, present-participle, 0.482185428343, 1678
wikipedia-dict, superlative, 0.473769459707, 52
wordnet, MemberOf, 0.52683586255, 91
wikipedia-dict, currency, 0.498015873016, 63
wikipedia-dict, nationality-adjective, 0.564650667507, 114
wikipedia-dict, comparative, 0.472894700205, 66
wikipedia-dict, plural-verbs, 0.487929324478, 1613
wordnet, Entails, 0.491032295271, 85
wordnet, PartOf, 0.482867748296, 578
wordnet, InstanceOf, 0.496780527825, 649
wikipedia-dict, plural-nouns, 0.478158967393, 2953
wordnet, HasContext, 0.496751513737, 660
wordnet, SimilarTo, 0.496420371787, 1325
wordnet, RelatedTo, 0.496527777778, 78
wikipedia-dict, past-tense, 0.478346105167, 1577
wikipedia-dict, man-woman, 0.499393956147, 51
wordnet, Antonym, 0.48500240614, 378
wikipedia-dict, all-capital-cities, 0.434498953338, 91
wikipedia-dict, city-in-state, 0.497659705449, 2072
wordnet, DerivedFrom, 0.4914195502, 2632
wordnet, Attribute, 0.479284182473, 113
wikipedia-dict, adjective-to-adverb, 0.488262307419, 344
wordnet, MadeOf, 0.477272727273, 22
wordnet, IsA, 0.495073939575, 6589
wordnet, Causes, 0.5, 23

