docs gathered within: 1023.44397998s
embedding dimension, vocabulary stop threshold, training time
50, 5, 2535.47584414
50, 10, 2394.98851705
50, 15, 2321.16558099
50, 20, 2346.38310981
50, 25, 2239.65245104
50, 30, 2212.43552995
50, 35, 2122.78580499
50, 40, 2071.06325293
50, 45, 2120.83473086
50, 50, 2027.17384315
100, 5, 3727.83354497
100, 10, 3404.88344097
100, 15, 3389.25194597
100, 20, 3312.70051003
100, 25, 3127.528651
100, 30, 3130.77102995
100, 35, 3088.50613618
100, 40, 3046.22238016
100, 45, 3023.01045585
100, 50, 3015.30289602
150, 5, 5243.508219
150, 10, 5007.90332103
150, 15, 4774.71429586
150, 20, 4704.76646113
150, 25, 4546.64979386
150, 30, 4547.61010313
150, 35, 4483.96677899
150, 40, 4104.93605304
150, 45, 4348.86422014
150, 50, 4429.2307241
200, 5, 6874.823421
200, 10, 6785.6962018
200, 15, 6441.6496191
200, 20, 6513.61356807
200, 25, 6227.92959905
200, 30, 6281.91058683
200, 35, 6124.59857321
200, 40, 6162.89437103
200, 45, 6057.59892607
200, 50, 6237.14870501
250, 5, 9890.06266308
250, 10, 6906.52663994
250, 15, 8339.5870049
250, 20, 8114.30787611
250, 25, 7937.28607893
250, 30, 7885.07911801
250, 35, 7793.679497
250, 40, 7550.26562214
250, 45, 7690.71479106
250, 50, 7577.41242003
300, 5, 11255.0552189
300, 10, 8383.02621317
300, 15, 10551.0706289
300, 20, 10154.780354
300, 25, 9418.51029205
300, 30, 9431.19447899
300, 35, 9656.08679199
300, 40, 10299.5342829
300, 45, 9507.6581099
300, 50, 10657.895436
