,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.44029850746268656,0.515,0.30950105142420187,0.49268023962060425,0.4154661949901931,0.5027810888583416,0.21215244841560818,0.2373373175880514,0.42494735167893066,0.3554959600925941,0.44338461468429863,0.17273843634875152,0.07925,0.1025036710022666,1
0,0.4502487562189055,0.535,0.3184859491493022,0.5267007957436024,0.44872030420817505,0.5294445502105336,0.21137191265635938,0.26114621085709205,0.46658274398254795,0.4022858590626302,0.5129269288497689,0.18563241915677445,0.086625,0.0922905279059544,1
0,0.42786069651741293,0.505,0.33397056012234755,0.5026652484757594,0.4929829678630998,0.5979609037671909,0.2082466939739812,0.25928105545618746,0.43688891369158217,0.3575645377353543,0.4793608122798441,0.16711011051985264,0.074375,0.08427669697900876,1
0,0.4129353233830846,0.515,0.30013381762569297,0.5015290320622431,0.38206613422041863,0.5788812301930404,0.21016682801524286,0.24461054620610115,0.47529866697308254,0.4461076846920663,0.4870422282629906,0.20149406467458045,0.079,0.09888350966903647,1
0,0.4825870646766169,0.65,0.3337793920856433,0.5197900377735968,0.44220477310737066,0.5688496492416829,0.1985642278594029,0.26577761844511655,0.43040817152806177,0.36472675816892425,0.5030276644942356,0.17432460090053215,0.071625,0.08680823023934628,1
0,0.4825870646766169,0.545,0.3089275473140891,0.5136046062523922,0.41771816397715544,0.5685655303912088,0.24297868010370913,0.2482648538601569,0.48849954726932954,0.42798878927630696,0.509184847685881,0.1667519443307409,0.074375,0.11109272546002225,1
0,0.4228855721393035,0.55,0.3209711336264577,0.4696330426082636,0.4631144269891332,0.5452240740599457,0.21592821280523167,0.26215289598975866,0.377073477748152,0.340898183517357,0.39512345943226324,0.18302292263610315,0.083375,0.13096732455269502,1
0,0.4552238805970149,0.555,0.33033836742496653,0.49720207027724556,0.41534841843361625,0.5474751695675487,0.2077946967576738,0.23039342591335873,0.4637470953171036,0.4003578862079858,0.5243489914247642,0.16654727793696275,0.086125,0.11418186702820358,1
,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.4502487562189055,0.55,0.321926973809979,0.46533238544904115,0.439177357180015,0.6060255080614195,0.18523191126785613,0.2556557672952402,0.4297332249436564,0.3631144899318626,0.4870680505596937,0.2021592304543594,0.083,0.0967015539550322,2
0,0.48009950248756217,0.535,0.32517683043395146,0.5175823073105738,0.49710286288422084,0.587426651003456,0.20790139305673574,0.23429058977332462,0.460241683569721,0.37163176557676764,0.5496146741766882,0.2339336880884159,0.09275,0.08052019538363109,2
0,0.44029850746268656,0.5700000000000001,0.32670617472758556,0.49982067536713976,0.4586975522887125,0.56321098282458,0.23149803752373205,0.2361296444812364,0.4200321636684459,0.3606919631691522,0.4947042775236099,0.20205689725747034,0.0745,0.08569306497861892,2
0,0.42786069651741293,0.5700000000000001,0.3265150066908813,0.4929222732535406,0.4204209328875674,0.5191944162972729,0.20156966680524113,0.21809709274991046,0.4822843914032701,0.459422020761382,0.4864397080065855,0.2070712239050348,0.0835,0.12035138793275683,2
0,0.48507462686567165,0.59,0.33760275281972857,0.5138113603975872,0.4399901169519101,0.5177082561563311,0.18261228647030917,0.24311712557703744,0.5437249917781081,0.4983286779443901,0.6021981949824111,0.2261563651248465,0.086375,0.1075714382675967,2
