size (of original corpus),sampling,partition
1/100000,6.55534853941,1.30629528034
1/50000,3.63944360882,0.912815323819
1/30000,4.50211327134,1.46238810164
1/10000,2.96674565866,1.24078364356
1/5000,2.52932945069,1.15149159487
1/3000,2.15698255208,1.16457978478
1/1000,1.45126247682,0.98539941009
1/500,1.23198971255,1.41694126234
1/300,1.06380243479,0.955511428201
1/100,0.607599201229,0.56808246235
1/50,0.455890209974,0.496532007283
1/30,0.342965087547,0.447646987705
1/10,0.195429772609,0.388489282642
